step,n_predators,n_prey
0,100,500
1,106,642
2,109,806
3,111,984
4,125,1178
5,134,1333
6,142,1474
7,155,1593
8,169,1650
9,181,1709
10,199,1726
11,215,1706
12,230,1685
13,250,1656
14,271,1604
15,291,1549
16,317,1472
17,339,1450
18,359,1391
19,386,1335
20,404,1255
21,426,1187
22,452,1092
23,475,1023
24,493,980
25,521,903
26,543,855
27,557,808
28,575,740
29,589,683
30,603,571
31,614,528
32,622,475
33,622,442
34,626,398
35,623,344
36,610,323
37,598,306
38,586,302
39,569,305
40,555,277
41,530,267
42,514,253
43,494,260
44,461,250
45,435,259
46,406,252
47,385,262
48,367,262
49,347,270
50,324,299
51,317,315
52,305,339
53,301,371
54,294,414
55,286,460
56,280,500
57,278,537
58,278,588
59,267,672
60,262,741
61,266,794
62,269,842
63,266,890
64,274,942
65,286,957
66,292,991
67,299,1008
68,308,1038
69,314,1018
70,324,1030
71,344,1038
72,360,1019
73,367,1010
74,383,1013
75,395,1005
76,410,969
77,422,962
78,437,927
79,452,895
80,470,850
81,475,826
82,495,774
83,504,738
84,521,697
85,524,654
86,532,617
87,545,560
88,551,524
89,559,498
90,571,453
91,576,417
92,579,400
93,576,372
94,571,369
95,559,352
96,554,331
97,541,314
98,544,313
99,523,318
100,510,333
101,498,326
102,478,339
103,460,328
104,443,340
105,423,333
106,397,348
107,381,363
108,374,379
109,370,394
110,354,403
111,342,444
112,331,469
113,325,496
114,321,544
115,324,566
116,317,586
117,324,613
118,329,620
119,328,641
120,325,664
121,332,711
122,332,739
123,339,783
124,344,801
125,344,837
126,348,857
127,356,883
128,366,884
129,376,896
130,377,891
131,383,887
132,393,855
133,390,853
134,399,848
135,409,822
136,422,804
137,433,778
138,452,742
139,464,712
140,471,706
141,475,681
142,474,651
143,478,624
144,487,615
145,490,606
146,496,602
147,501,593
148,503,602
149,488,595
150,482,592
151,481,585
152,480,574
153,477,568
154,469,564
155,467,550
156,466,514
157,462,513
158,455,506
159,444,504
160,439,484
161,436,484
162,433,483
163,438,469
164,439,503
165,432,497
166,437,511
167,433,527
168,426,555
169,419,560
170,416,558
171,416,584
172,417,599
173,409,621
174,408,624
175,408,661
176,408,650
177,410,641
178,408,647
179,418,658
180,416,649
181,423,656
182,423,640
183,422,640
184,427,660
185,432,642
186,436,644
187,438,660
188,446,648
189,447,644
190,454,639
191,458,619
192,462,603
193,464,604
194,458,606
195,461,608
196,459,588
197,464,585
198,468,578
199,460,564
200,450,556
201,445,552
202,443,557
203,438,543
204,432,538
205,429,551
206,425,545
207,418,577
208,409,559
209,408,565
210,404,568
211,393,569
212,394,574
213,388,579
214,393,580
215,385,576
216,376,585
217,376,607
218,366,610
219,362,616
220,363,649
221,363,664
222,375,679
223,371,692
224,375,675
225,367,684
226,374,689
227,378,703
228,380,715
229,377,740
230,385,746
231,388,748
232,389,759
233,390,764
234,391,770
235,406,771
236,413,768
237,412,753
238,414,763
239,419,765
240,429,769
241,428,765
242,436,750
243,443,738
244,450,739
245,457,721
246,454,688
247,462,679
248,463,655
249,469,672
250,472,655
251,484,647
252,483,622
253,480,607
254,498,597
255,510,561
256,512,540
257,507,524
258,502,530
259,500,541
260,496,523
261,498,508
262,499,504
263,502,485
264,514,462
265,508,428
266,505,445
267,499,459
268,473,441
269,456,445
270,446,417
271,443,435
272,439,445
273,435,438
274,428,438
275,428,420
276,413,439
277,401,436
278,383,441
279,372,463
280,372,479
281,373,496
282,369,496
283,366,538
284,368,562
285,365,591
286,358,621
287,361,667
288,350,682
289,349,702
290,348,740
291,356,782
292,360,801
293,356,832
294,359,855
295,355,867
296,368,887
297,378,888
298,384,895
299,400,877
300,402,849
301,416,812
302,422,814
303,422,817
304,423,787
305,437,768
306,441,759
307,449,722
308,457,710
309,468,699
310,473,656
311,483,638
312,495,635
313,510,623
314,502,589
315,508,601
316,516,581
317,523,563
318,537,542
319,538,530
320,537,499
321,536,445
322,531,430
323,534,421
324,521,408
325,517,408
326,515,403
327,513,392
328,511,398
329,503,415
330,494,410
331,484,404
332,472,392
333,453,387
334,440,381
335,428,378
336,424,380
337,419,379
338,401,394
339,403,419
340,405,448
341,396,486
342,395,523
343,390,510
344,386,523
345,373,534
346,368,547
347,364,565
348,369,569
349,365,567
350,368,589
351,364,619
352,364,620
353,365,653
354,368,665
355,373,681
356,381,706
357,378,708
358,380,717
359,383,751
360,393,762
361,398,779
362,398,784
363,398,801
364,397,807
365,402,798
366,409,825
367,413,821
368,424,824
369,430,824
370,439,825
371,444,798
372,456,788
373,465,762
374,470,731
375,490,712
376,490,672
377,512,664
378,517,623
379,525,596
380,528,580
381,539,540
382,546,510
383,545,489
384,540,476
385,551,448
386,544,422
387,544,406
388,548,383
389,549,383
390,544,360
391,538,358
392,524,323
393,510,328
394,493,361
395,479,352
396,463,354
397,449,378
398,430,384
399,417,388
400,403,413
401,391,411
402,378,433
403,364,455
404,357,455
405,343,458
406,329,487
407,316,521
408,319,555
409,310,600
410,301,644
411,299,681
412,298,700
413,298,736
414,296,792
415,297,828
416,297,872
417,302,900
418,310,933
419,315,957
420,320,974
421,331,1005
422,350,1002
423,365,990
424,379,985
425,392,968
426,405,944
427,422,935
428,436,906
429,438,872
430,453,859
431,462,835
432,477,784
433,484,768
